DRUG_GROUP,Trade_Name,Active_Ingredient,MARKETING_DATE,BBW_DATE,POPULAR_YEAR,SUMMARY,SOURCE,BBW_TEXT
BBW,abilify,aripiprazole,20021115,20050411,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",Increased Mortality in Patients with Dementia-Related Psychosis,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm151088.htm,"Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be either cardiovascular (CV) (eg, heart failure [HF], sudden death) or infectious (eg, pneumonia) in nature. Not approved for treatment of patients with dementia-related psychosis. Antidepressants increased risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior in patients who are started on antidepressant therapy. Not approved for use in pediatric patients with depression."
BBW,accupril,,19911119,20120301,"[2003, 2004]",,http://newyork.legalexaminer.com/fda-prescription-drugs/physicians-alert-the-public-to-potentially-lifethreatening-ace-inhibitor-side-effects/,D/C if pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,actiq,,19981104,20070201,"[2003, 2004, 2005, 2006, 2007, 2008]",,http://www.defectivedrug.com/blackbox/actiq/,"Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Death reported upon accidental ingestion in children; keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Actiq. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called Transmucosal Immediate Release Fentanyl (TIRF) Risk Evaluation Mitigation Strategy (REMS) Access program due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program."
BBW,actoplus met,,20050829,20070801,"[2007, 2008, 2009, 2010]",,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm124178.htm,"Thiazolidinediones, including pioglitazone, cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, monitor carefully for signs and symptoms of heart failure (HF); manage accordingly and consider discontinuation or dose reduction if HF develops. Not recommended with symptomatic HF. Contraindicated with established NYHA Class III or IV HF. Lactic acidosis may occur due to metformin accumulation; risk increases with conditions such as sepsis, dehydration, excess alcohol intake, hepatic/renal impairment, and acute CHF. If acidosis is suspected, d/c therapy and hospitalize patient immediately."
BBW,actos,,19990715,20070101,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",congestive heart failure,http://www.drugwatch.com/actos/black-box-warning.php,"Thiazolidinediones cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, monitor carefully for signs and symptoms of heart failure (HF) and manage accordingly; consider discontinuation or dose reduction. Not recommended in patients with symptomatic HF. Contraindicated with established NYHA Class III or IV HF."
BBW,adderall xr,,20011011,20060822,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",sudden death in patients with heart problems.,http://www.webmd.com/add-adhd/news/20060822/heart-alert-adhd-drugs,High potential for abuse; prolonged use may lead to drug dependence. Misuse may cause sudden death and serious cardiovascular (CV) adverse reactions.
BBW,advair diskus,,20010621,20060601,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",,http://www.lawyersandsettlements.com/articles/asthma/asthma-fda-black-box-warnings-10693.html#.VQkZQUvWqL4,"long-acting beta-2 adrenergic agonists (LABA) incr. risk of asthma-related death; data from large placebo-controlled US study showed incr. in asthma-related deaths in pts receiving salmeterol plus usual asthma tx, results considered LABA class effect; inadequate data to determine if concurrent inhaled corticosteroids or other long-term asthma control tx mitigates incr. risk of asthma-related death from LABA; LABA use may incr. risk of asthma-related hospitalization in pediatric and adolescent pts; use only for asthma pts not controlled on long-term asthma control tx, such as inhaled corticosteroid, or whose dz severity requires tx w/ both corticosteroid and LABA; once asthma control is achieved and maintained, assess pt at regular intervals and step down tx, such as D/C corticosteroid/LABA combo, if possible w/o loss of asthma control; maintain pt on long-term asthma control tx such as inhaled corticosteroid; do not use corticosteroid/LABA combo if asthma adequately controlled on low-or medium-dose inhaled corticosteroids"
BBW,advair hfa,,20080929,20060601,[2010],,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm108111.htm,"long-acting beta-2 adrenergic agonists (LABA) incr. risk of asthma-related death; data from large placebo-controlled US study showed incr. in asthma-related deaths in pts receiving salmeterol plus usual asthma tx, results considered LABA class effect; inadequate data to determine if concurrent inhaled corticosteroids or other long-term asthma control tx mitigates incr. risk of asthma-related death from LABA; LABA use may incr. risk of asthma-related hospitalization in pediatric and adolescent pts; use only for asthma pts not controlled on long-term asthma control tx, such as inhaled corticosteroid, or whose dz severity requires tx w/ both corticosteroid and LABA; once asthma control is achieved and maintained, assess pt at regular intervals and step down tx, such as D/C corticosteroid/LABA combo, if possible w/o loss of asthma control; maintain pt on long-term asthma control tx such as inhaled corticosteroid; do not use corticosteroid/LABA combo if asthma adequately controlled on low-or medium-dose inhaled corticosteroids"
BBW,altace,ramipril,19910128,20120401,"[2003, 2004, 2005, 2006, 2007, 2008]",FETAL TOXICITY,http://www.fda.gov/Safety/MedWatch/SafetyInformation/ucm233254.htm,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,amnesteem,isotretinoin,20021111,20070301,"[2003, 2004, 2005]",must not be used by female patients who are or may become pregnant.,"http://isotretinoinsideeffects.com, http://www.fda.gov/downloads/iceci/enforcementactions/enforcementstory/enforcementstoryarchive/ucm090289.pdf","Not for use by females who are or may become pregnant. Severe birth defects, including death, have been documented. Increased risk of spontaneous abortion and premature births reported. D/C immediately if pregnancy occurs during treatment and refer to an obstetrician-gynecologist experienced in reproductive toxicity for evaluation and counseling. Approved only under special restricted distribution program called iPLEDGEŠÜ¢. Prescribers, patients, pharmacies, and distributors must be registered and activated with the program."
BBW,androgel,,20030515,20090507,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",The FDA today warned about the risks that testosterone gel products can pose to children inadvertently exposed to those products by adults,http://www.webmd.com/men/news/20090507/testosterone-gels-risky-to-children,Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.
