DRUG_GROUP	Trade_Name	Active_Ingredient	MARKETING_DATE	BBW_DATE	POPULAR_YEAR	SUMMARY	SOURCE	BBW_TEXT	label
ROBUST	aciphex	NA	1999-08-19	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	actonel	NA	1998-03-27	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	afinitor	NA	2009-03-31	NA	[2013]	NA	NA	NA	0
ROBUST	aggrenox	NA	1999-12-19	NA	[2006, 2007, 2009, 2010]	NA	NA	NA	0
ROBUST	aldara	NA	2011-06-24	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	alimta	NA	2004-02-13	NA	[2011, 2012, 2013]	NA	NA	NA	0
ROBUST	allegra-d 24 hour	NA	2004-10-19	NA	[2007, 2008, 2009]	NA	NA	NA	0
ROBUST	alphagan p	NA	2001-07-10	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	amaryl	NA	2009-06-18	NA	[2003, 2004, 2005]	NA	NA	NA	0
ROBUST	ambien	NA	1993-04-01	NA	[2003, 2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	ambien cr	NA	2005-10-07	NA	[2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	amitiza	NA	2006-01-31	NA	[2008, 2009, 2010]	NA	NA	NA	0
ROBUST	aricept	NA	1996-11-25	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	arimidex	NA	1996-01-16	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	asacol	NA	1992-04-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	asmanex	NA	2005-03-30	NA	[2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	astelin	NA	1996-11-15	NA	[2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	avodart	NA	2002-12-10	NA	[2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	avonex	NA	1996-05-17	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	bactroban	NA	1996-04-10	NA	[2003]	NA	NA	NA	0
ROBUST	benzaclin	NA	2009-08-27	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	betaseron	NA	2009-07-09	NA	[2003, 2004, 2005, 2006, 2007, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	biaxin	NA	1991-10-31	NA	[2003, 2004]	NA	NA	NA	0
ROBUST	boniva	NA	2002-07-15	NA	[2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	byetta	NA	2005-04-28	NA	[2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	bystolic	NA	2008-01-22	NA	[2010]	NA	NA	NA	0
ROBUST	caduet	NA	2004-01-30	NA	[2005, 2006, 2007, 2009, 2010]	NA	NA	NA	0
ROBUST	casodex	NA	1995-10-16	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	cialis	NA	2003-11-26	NA	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	clarinex	NA	2001-12-21	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	clobex	NA	2003-08-01	NA	[2010]	NA	NA	NA	0
ROBUST	combivent respimat	NA	2012-08-24	NA	[2013]	NA	NA	NA	0
ROBUST	copaxone	NA	2008-04-28	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	coreg	NA	1997-06-03	NA	[2003, 2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	cosopt	NA	1998-04-07	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	creon	NA	2009-09-29	NA	[2010]	NA	NA	NA	0
ROBUST	crestor	NA	2003-08-18	NA	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	ddavp	NA	1978-02-21	NA	[2003, 2004, 2005]	NA	NA	NA	0
ROBUST	detrol la	NA	2000-02-22	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	dexilant	NA	2010-04-12	NA	[2012, 2013]	NA	NA	NA	0
ROBUST	differin	NA	1996-05-31	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	diflucan	NA	1990-01-29	NA	[2003, 2004]	NA	NA	NA	0
ROBUST	doryx	NA	2011-09-21	NA	[2008, 2009, 2010]	NA	NA	NA	0
ROBUST	dovonex	NA	1996-10-01	NA	[2003, 2004, 2006, 2007]	NA	NA	NA	0
ROBUST	duoneb	NA	2011-02-15	NA	[2004, 2005, 2006]	NA	NA	NA	0
ROBUST	elmiron	NA	1996-09-26	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	enablex	NA	2004-12-22	NA	[2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	epipen	NA	1987-12-22	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	famvir	NA	1994-06-29	NA	[2003, 2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	femara	NA	1997-07-31	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	flomax	NA	1997-09-12	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	flonase	NA	1994-11-08	NA	[2003, 2004, 2005, 2006]	NA	NA	NA	0
ROBUST	flovent	NA	2005-07-13	NA	[2003, 2004, 2005]	NA	NA	NA	0
ROBUST	fosamax	NA	1995-09-29	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	fosamax plus d	NA	2005-04-07	NA	[2006, 2007, 2008]	NA	NA	NA	0
ROBUST	fuzeon	NA	2012-04-10	NA	[2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	gilenya	NA	2010-09-21	NA	[2012, 2013]	NA	NA	NA	0
ROBUST	gleevec	NA	2001-05-15	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	glucotrol xl	NA	1994-08-01	NA	[2003]	NA	NA	NA	0
ROBUST	gonal-f	NA	2004-03-25	NA	[2003]	NA	NA	NA	0
ROBUST	humalog	NA	1996-07-24	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	humulin 70/30	NA	2013-06-12	NA	[2003, 2004, 2005, 2006, 2008]	NA	NA	NA	0
ROBUST	intuniv	NA	2009-09-02	NA	[2010]	NA	NA	NA	0
ROBUST	isentress	NA	2007-10-12	NA	[2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	januvia	NA	2006-10-16	NA	[2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	kaletra	NA	2006-04-11	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	keppra	NA	2000-04-24	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	klor-con	NA	1986-04-17	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	lantus	NA	2002-06-04	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	lantus solostar	NA	2009-09-23	NA	[2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	lescol	NA	1993-12-30	NA	[2003]	NA	NA	NA	0
ROBUST	levemir	NA	2006-03-27	NA	[2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	levitra	NA	2003-04-23	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	lialda	NA	2007-01-16	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	lidoderm	NA	1999-03-20	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	lipitor	NA	1996-12-17	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]	NA	NA	NA	0
ROBUST	lovaza	NA	2008-10-21	NA	[2007, 2008, 2010, 2011, 2012, 2013]	NA	NA	NA	0
