"","drug","count","group","newOccureScore","PDR id","BBW","BBW text","reference"
"1","actonel",2,"ROBUST",0.995517844032826,"druglabelid=2511",0,"None","http://www.pdr.net/drug-summary/actonel?druglabelid=2511"
"2","afinitor",5,"ROBUST",0.672187000940646,"druglabelid=416",0,"None","http://www.pdr.net/drug-summary/afinitor?druglabelid=416"
"3","alimta",7,"ROBUST",0.91757612333714,"druglabelid=2260",0,"None","http://www.pdr.net/drug-summary/alimta?druglabelid=2260"
"4","amaryl",8,"ROBUST",0.340502612303499,"druglabelid=1031",0,"None","http://www.pdr.net/drug-summary/amaryl?druglabelid=1031"
"5","ambien cr",9,"ROBUST",0.90021274081375,"druglabelid=504",0,"None","http://www.pdr.net/drug-summary/ambien-cr?druglabelid=504"
"6","arimidex",13,"ROBUST",0.503496546095228,"druglabelid=1717",0,"None","http://www.pdr.net/drug-summary/arimidex?druglabelid=1717"
"7","avelox",17,"BBW",0.653828966146036,"druglabelid=332",1,"Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased in patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis.","http://www.pdr.net/drug-summary/avelox?druglabelid=332"
"8","bystolic",22,"ROBUST",0.574988908499946,"druglabelid=156",0,"None","http://www.pdr.net/drug-summary/bystolic?druglabelid=156"
"9","celebrex",24,"BBW",0.768154456192179,"druglabelid=532",1,"May increase risk of serious cardiovascular (CV) thrombotic events, myocardial infarction (MI), and stroke, which can be fatal; increased risk with duration of use and with CV disease (CVD) or risk factors for CVD. Increased risk of serious GI adverse events (eg, bleeding, ulceration, perforation of stomach/intestines) that can be fatal and occur anytime during use without warning symptoms; elderly patients are at a greater risk. Contraindicated for treatment of perioperative pain in the setting of coronary artery bypass graft (CABG) surgery.","http://www.pdr.net/drug-summary/celebrex?druglabelid=532"
"10","celexa",25,"BBW",0.593430764925737,"druglabelid=1325",1,"Antidepressants increased the risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior in patients who are started on antidepressant therapy. Not approved for use in pediatric patients.","http://www.pdr.net/drug-summary/celexa?druglabelid=1325"
