drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	10	169.444444444444	194	-0.10904041890478	0.603117406165794	-0.073380646581974	0.518414005519626
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	24	216	78.5833333333333	-0.0716931100901001	0.509070298288098	-0.0294266793528861	0.768028809998439
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	17	151.742857142857	257.705882352941	0.143509378973688	0.407773912355106	-0.0648643696353581	0.496947345457702
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	14	278.032258064516	51.2857142857143	0.0600367183287698	0.523836634060999	-0.0461924742828358	0.780781396700963
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	25	2739.12	1166.2	0.106721234420026	0.756432893024546	0.0457454780946079	0.879140205061962
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	30	412.615384615385	181.133333333333	-0.0182907283451887	0.60816039786582	0.0532838735187746	0.849594812108787
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	35	117.363636363636	231.314285714286	-0.0740917998093031	0.786637581205757	-0.0618099860637796	0.849009395990362
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	9	152.540983606557	98.2222222222222	-0.0772896246955915	0.755421788231838	-0.0559243139284376	0.507368042867071
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	66	632.777777777778	225.515151515152	0.0458823027099447	0.850421568681368	0.041073733232748	0.731744745012078
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	10	365.235294117647	92.2	0.0281754578189492	0.630385295605023	-0.048680193317136	0.447239564583976
humira	BBW	1	2002-12-30	2009-11-01	Increased risk of serious infections (eg, active tuberculosis [TB] including latent TB reactivation, invasive fungal, bacterial, viral, and other infections due to opportunistic pathogens) leading to hospitalization or death, mostly with concomitant use of immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation TB patients have frequently presented with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to adalimumab use. Invasive fungal infections reported; consider empiric antifungal therapy in patients at risk who develop severe systemic illness. Monitor patients closely for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents. Postmarketing cases of aggressive and fatal hepatosplenic T-cell lymphoma (HSTCL) reported in patients with Crohn's disease (CD) or ulcerative colitis (UC) and the majority were in adolescent and young adult males; all of these patients were treated concomitantly with azathioprine or 6-mercaptopurine.	181	75	10	14	1359.4	300.857142857143	0.0160144986187175	0.82900770844322	0.04225605387996	0.812402716031549
kaletra	ROBUST	0	2006-04-11	NA	NA	172	89	100	20	338.82	82.2	-0.167972263959502	0.654180911859385	-0.0614523079728179	0.578122652079828
lantus	ROBUST	0	2002-06-04	NA	NA	224	177	14	91	1923.35714285714	316.714285714286	0.118432712235974	0.850920875775334	0.0746045683371735	0.786958330185475
levaquin	BBW	1	1996-12-20	2008-07-08	Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased with patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis.	100	43	11	23	507.545454545455	591.04347826087	0.111872832506824	0.412568498503517	0.078348582677857	0.60710211032255
levemir	ROBUST	0	2006-03-27	NA	NA	67	54	32	14	952.78125	149.071428571429	0.0848295578431733	0.876267006209297	0.0545206022812738	0.872830921222206
lucentis	ROBUST	0	2006-06-30	NA	NA	274	68	26	9	336.653846153846	96.6666666666667	-0.0216786226934251	0.809537727176758	-0.00913497053693479	0.793531799824779
lyrica	ROBUST	0	2004-12-30	NA	NA	182	84	15	28	333.133333333333	139	0.0313139172624346	0.721955686054388	0.316985863351454	0.81525537689952
mirapex	ROBUST	0	2003-09-04	NA	NA	73	29	9	15	174.333333333333	220.666666666667	0.0577832176660041	0.748140649485473	0.0429130036725809	0.684392533972027
namenda	ROBUST	0	2003-10-16	NA	NA	84	48	9	35	347.777777777778	71.7142857142857	0.00440426162278007	0.482289428438469	0.0618155816949567	0.674185675396701
novolog	ROBUST	0	2001-08-27	NA	NA	195	110	21	63	1254.90476190476	259.269841269841	-0.05970488390102	0.888186406742092	0.0579640281074264	0.826466486203361
restasis	ROBUST	0	2003-04-01	NA	NA	563	147	195	111	111.851282051282	145.477477477477	-0.0135482124940532	0.734121814392155	-0.0555911395801952	0.65395512395369
reyataz	ROBUST	0	2003-06-24	NA	NA	109	53	11	41	257.454545454545	212.975609756098	0.129792858205217	0.702100366683843	0.177433061176811	0.742241849089556
rituxan	BBW	1	1997-11-26	2013-09-25	Serious, including fatal infusion reactions reported; deaths within 24 hrs of infusion have occurred. Monitor patients closely. D/C for severe reaction and treat for Grade 3/4 reactions. Severe, including fatal, mucocutaneous reactions may occur. Hepatitis B virus (HBV) reactivation can occur, in some cases resulting in fulminant hepatitis, hepatic failure, and death. Screen all patients for HBV infection before treatment initiation; monitor patients during and after treatment. D/C therapy and concomitant medications in the event of HBV reactivation. Fatal progressive multifocal leukoencephalopathy (PML) may occur.	1261	50	11	20	121.545454545455	127.65	0.0892103347936031	0.566416952814028	0.0501099950138446	0.684632701181524
spiriva	ROBUST	0	2004-07-14	NA	NA	183	63	45	22	397.533333333333	266.454545454545	0.189115776384018	0.86571771039599	0.0787094761120468	0.725847264260873
testim	BBW	1	2002-10-31	2009-09-01	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	25	28	241	96.9285714285714	-0.0705298592894576	0.403152952003836	-0.00697126152804028	0.74793129755428
topamax	ROBUST	0	1997-01-01	NA	NA	146	47	12	30	115.916666666667	117.033333333333	0.347139319376296	0.437152868341211	0.281531425156118	0.705365268414312
ultram er	ROBUST	0	2005-09-08	NA	NA	80	61	25	20	355.76	448.25	0.00311528116021392	0.654090374766886	0.0144511532226903	0.602217473437773
veramyst	ROBUST	0	2007-05-15	NA	NA	290	157	99	25	487.383838383838	184.16	-0.00854689266047864	0.787236453688614	-0.0241354684181269	0.703882088414489
viramune	BBW	1	2001-08-01	2005-02-01	Severe, life-threatening, and in some cases fatal, hepatotoxicity (particularly in the first 18 weeks) and skin reactions (eg, Stevens-Johnson syndrome [SJS], toxic epidermal necrolysis [TEN], hypersensitivity reactions) reported. Increased risk of hepatotoxicity reported in women and patients with higher CD4	120	45	9	40	594.444444444444	213.225	0.153962495005923	0.338925522212996	0.0983787406235788	0.613829681350344
