drug,label,marketDate,bbwDate,prediction
viramune,1,2001-08-01,2005-02-01,0.775401069518717
enbrel,1,2003-01-02,2008-07-01,0.752906976744186
topamax,0,1997-01-01,NA,0.75
levaquin,1,1996-12-20,2008-07-08,0.680790960451977
androgel,1,2003-05-15,2009-05-07,0.650918635170604
testim,1,2002-10-31,2009-09-01,0.642651296829971
exforge,1,2007-06-20,2008-07-01,0.605187319884726
reyataz,0,2003-06-24,NA,0.587078651685393
chantix,1,2006-05-10,2009-07-01,0.567123287671233
wellbutrin xl,1,2003-10-08,2006-02-01,0.525333333333333
eloxatin,1,2006-06-02,2009-03-01,0.480446927374302
intuniv,0,2009-09-02,NA,0.462809917355372
thalomid,1,2003-06-20,2006-05-01,0.454068241469816
bystolic,0,2008-01-22,NA,0.440944881889764
invega,1,2006-12-19,2008-06-16,0.427397260273973
tricor,0,2004-11-05,NA,0.404692082111437
sensipar,0,2004-04-04,NA,0.404624277456647
lyrica,0,2004-12-30,NA,0.393483709273183
solodyn,0,2009-07-23,NA,0.362162162162162
lantus,0,2002-06-04,NA,0.359773371104816
spiriva,0,2004-07-14,NA,0.352941176470588
rituxan,1,1997-11-26,2013-09-25,0.340845070422535
humira,1,2002-12-30,2009-11-01,0.325581395348837
restasis,0,2003-04-01,NA,0.297222222222222
avastin,1,2004-02-26,2005-11-03,0.292746113989637
mirapex,0,2003-09-04,NA,0.253481894150418
novolog,0,2001-08-27,NA,0.251295336787565
fentora,1,2006-09-25,2008-02-01,0.244444444444444
ambien cr,0,2005-10-07,NA,0.24331550802139
crestor,0,2003-08-18,NA,0.243093922651934
zometa,0,2001-08-20,NA,0.228571428571429
gilenya,0,2010-09-21,NA,0.224867724867725
xgeva,0,2010-11-18,NA,0.219251336898396
januvia,0,2006-10-16,NA,0.213720316622691
oracea,0,2006-09-29,NA,0.212707182320442
lucentis,0,2006-06-30,NA,0.19047619047619
byetta,0,2005-04-28,NA,0.182561307901907
amaryl,0,2009-06-18,NA,0.179063360881543
levemir,0,2006-03-27,NA,0.171830985915493
cymbalta,1,2004-08-24,2012-10-01,0.158311345646438
velcade,0,2003-05-13,NA,0.150568181818182
neupogen,0,1994-06-08,NA,0.149863760217984
trilipix,0,2008-12-15,NA,0.148997134670487
zetia,0,2002-10-25,NA,0.148876404494382
lialda,0,2007-01-16,NA,0.124668435013263
gleevec,0,2001-05-15,NA,0.122015915119363
nuvigil,0,2009-05-26,NA,0.120218579234973
zegerid,0,2004-06-15,NA,0.116991643454039
kaletra,0,2006-04-11,NA,0.114213197969543
veramyst,0,2007-05-15,NA,0.105714285714286
flovent,0,2005-07-13,NA,0.105555555555556
orencia,0,2009-01-01,NA,0.103641456582633
ultram er,0,2005-09-08,NA,0.0941828254847645
tiazac,0,2010-12-25,NA,0.091644204851752
copaxone,0,2008-04-28,NA,0.0804289544235925
pravachol,0,2009-06-01,NA,0.0803108808290155
afinitor,0,2009-03-31,NA,0.0760869565217391
namenda,0,2003-10-16,NA,0.0714285714285714
xopenex hfa,0,2005-12-01,NA,0.0686813186813187
isentress,0,2007-10-12,NA,0.0631578947368421
lovaza,0,2008-10-21,NA,0.062992125984252
creon,0,2009-09-29,NA,0.0616621983914209
xarelto,1,2011-07-01,2014-03-01,0.0607734806629834
xyzal,0,2007-08-09,NA,0.0566037735849057
yaz,1,2006-03-16,2008-12-01,0.0517711171662125
betaseron,0,2009-07-09,NA,0.0403458213256484
prezista,0,2008-03-08,NA,0.0366197183098592
dexilant,0,2010-04-12,NA,0.0118694362017804
