drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.657608695652174
viramune,1,2001-08-01,2005-02-01,0.627906976744186
enbrel,1,2003-01-02,2008-07-01,0.535064935064935
chantix,1,2006-05-10,2009-07-01,0.533333333333333
androgel,1,2003-05-15,2009-05-07,0.530120481927711
testim,1,2002-10-31,2009-09-01,0.49702380952381
afinitor,0,2009-03-31,NA,0.495934959349593
exforge,1,2007-06-20,2008-07-01,0.484419263456091
levaquin,1,1996-12-20,2008-07-08,0.480938416422287
reyataz,0,2003-06-24,NA,0.474719101123595
spiriva,0,2004-07-14,NA,0.466480446927374
wellbutrin xl,1,2003-10-08,2006-02-01,0.46218487394958
bystolic,0,2008-01-22,NA,0.426735218508997
eloxatin,1,2006-06-02,2009-03-01,0.403225806451613
intuniv,0,2009-09-02,NA,0.388101983002833
avastin,1,2004-02-26,2005-11-03,0.381615598885794
velcade,0,2003-05-13,NA,0.368983957219251
thalomid,1,2003-06-20,2006-05-01,0.358974358974359
humira,1,2002-12-30,2009-11-01,0.354466858789625
sensipar,0,2004-04-04,NA,0.344262295081967
zetia,0,2002-10-25,NA,0.335958005249344
lyrica,0,2004-12-30,NA,0.334261838440111
neupogen,0,1994-06-08,NA,0.333333333333333
crestor,0,2003-08-18,NA,0.332474226804124
levemir,0,2006-03-27,NA,0.3203125
byetta,0,2005-04-28,NA,0.307692307692308
restasis,0,2003-04-01,NA,0.302798982188295
tricor,0,2004-11-05,NA,0.293948126801153
rituxan,1,1997-11-26,2013-09-25,0.293333333333333
invega,1,2006-12-19,2008-06-16,0.290858725761773
zometa,0,2001-08-20,NA,0.290697674418605
solodyn,0,2009-07-23,NA,0.277929155313351
cymbalta,1,2004-08-24,2012-10-01,0.263888888888889
lantus,0,2002-06-04,NA,0.249329758713137
gilenya,0,2010-09-21,NA,0.248571428571429
xgeva,0,2010-11-18,NA,0.247222222222222
amaryl,0,2009-06-18,NA,0.245430809399478
creon,0,2009-09-29,NA,0.226775956284153
zegerid,0,2004-06-15,NA,0.213333333333333
lialda,0,2007-01-16,NA,0.198879551820728
lucentis,0,2006-06-30,NA,0.197101449275362
gleevec,0,2001-05-15,NA,0.192634560906516
oracea,0,2006-09-29,NA,0.18961038961039
novolog,0,2001-08-27,NA,0.189111747851003
kaletra,0,2006-04-11,NA,0.1875
orencia,0,2009-01-01,NA,0.1875
veramyst,0,2007-05-15,NA,0.186968838526912
pravachol,0,2009-06-01,NA,0.181081081081081
namenda,0,2003-10-16,NA,0.179941002949853
nuvigil,0,2009-05-26,NA,0.172972972972973
fentora,1,2006-09-25,2008-02-01,0.172413793103448
januvia,0,2006-10-16,NA,0.166212534059946
mirapex,0,2003-09-04,NA,0.160427807486631
trilipix,0,2008-12-15,NA,0.14868804664723
ambien cr,0,2005-10-07,NA,0.137142857142857
isentress,0,2007-10-12,NA,0.131578947368421
lovaza,0,2008-10-21,NA,0.128947368421053
tiazac,0,2010-12-25,NA,0.120512820512821
flovent,0,2005-07-13,NA,0.116216216216216
xyzal,0,2007-08-09,NA,0.112759643916914
ultram er,0,2005-09-08,NA,0.104683195592287
dexilant,0,2010-04-12,NA,0.102564102564103
prezista,0,2008-03-08,NA,0.102094240837696
copaxone,0,2008-04-28,NA,0.0935828877005348
betaseron,0,2009-07-09,NA,0.0782122905027933
xarelto,1,2011-07-01,2014-03-01,0.069060773480663
yaz,1,2006-03-16,2008-12-01,0.0402144772117962
xopenex hfa,0,2005-12-01,NA,0.0271739130434783
