drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.694214876033058
viramune,1,2001-08-01,2005-02-01,0.663888888888889
chantix,1,2006-05-10,2009-07-01,0.577348066298343
exforge,1,2007-06-20,2008-07-01,0.574285714285714
androgel,1,2003-05-15,2009-05-07,0.566233766233766
enbrel,1,2003-01-02,2008-07-01,0.553133514986376
levaquin,1,1996-12-20,2008-07-08,0.548780487804878
reyataz,0,2003-06-24,NA,0.525885558583106
testim,1,2002-10-31,2009-09-01,0.525
eloxatin,1,2006-06-02,2009-03-01,0.462337662337662
afinitor,0,2009-03-31,NA,0.458100558659218
wellbutrin xl,1,2003-10-08,2006-02-01,0.449720670391061
bystolic,0,2008-01-22,NA,0.432352941176471
intuniv,0,2009-09-02,NA,0.389333333333333
avastin,1,2004-02-26,2005-11-03,0.383378016085791
sensipar,0,2004-04-04,NA,0.37007874015748
spiriva,0,2004-07-14,NA,0.361930294906166
restasis,0,2003-04-01,NA,0.355223880597015
velcade,0,2003-05-13,NA,0.343832020997375
neupogen,0,1994-06-08,NA,0.336927223719677
lyrica,0,2004-12-30,NA,0.326869806094183
levemir,0,2006-03-27,NA,0.321428571428571
thalomid,1,2003-06-20,2006-05-01,0.318051575931232
rituxan,1,1997-11-26,2013-09-25,0.313218390804598
zometa,0,2001-08-20,NA,0.313218390804598
humira,1,2002-12-30,2009-11-01,0.310344827586207
byetta,0,2005-04-28,NA,0.271708683473389
creon,0,2009-09-29,NA,0.237430167597765
gleevec,0,2001-05-15,NA,0.234806629834254
crestor,0,2003-08-18,NA,0.234666666666667
tricor,0,2004-11-05,NA,0.234463276836158
solodyn,0,2009-07-23,NA,0.217847769028871
ambien cr,0,2005-10-07,NA,0.215297450424929
zetia,0,2002-10-25,NA,0.213367609254499
veramyst,0,2007-05-15,NA,0.212121212121212
invega,1,2006-12-19,2008-06-16,0.202216066481994
novolog,0,2001-08-27,NA,0.201101928374656
lialda,0,2007-01-16,NA,0.184573002754821
lantus,0,2002-06-04,NA,0.184065934065934
oracea,0,2006-09-29,NA,0.180412371134021
kaletra,0,2006-04-11,NA,0.175
fentora,1,2006-09-25,2008-02-01,0.17426273458445
lucentis,0,2006-06-30,NA,0.1671388101983
xgeva,0,2010-11-18,NA,0.164804469273743
mirapex,0,2003-09-04,NA,0.16120218579235
amaryl,0,2009-06-18,NA,0.161111111111111
cymbalta,1,2004-08-24,2012-10-01,0.145348837209302
nuvigil,0,2009-05-26,NA,0.143920595533499
flovent,0,2005-07-13,NA,0.136871508379888
trilipix,0,2008-12-15,NA,0.133689839572193
januvia,0,2006-10-16,NA,0.125
orencia,0,2009-01-01,NA,0.116991643454039
zegerid,0,2004-06-15,NA,0.108262108262108
isentress,0,2007-10-12,NA,0.104591836734694
namenda,0,2003-10-16,NA,0.103723404255319
gilenya,0,2010-09-21,NA,0.0886426592797784
copaxone,0,2008-04-28,NA,0.0840108401084011
xyzal,0,2007-08-09,NA,0.0830769230769231
pravachol,0,2009-06-01,NA,0.078740157480315
ultram er,0,2005-09-08,NA,0.0706214689265537
tiazac,0,2010-12-25,NA,0.0552763819095477
prezista,0,2008-03-08,NA,0.0492753623188406
xarelto,1,2011-07-01,2014-03-01,0.0461095100864553
dexilant,0,2010-04-12,NA,0.0448179271708683
lovaza,0,2008-10-21,NA,0.0434782608695652
yaz,1,2006-03-16,2008-12-01,0.0401069518716578
betaseron,0,2009-07-09,NA,0.0373333333333333
xopenex hfa,0,2005-12-01,NA,0.0220994475138122
