drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
afinitor	ROBUST	0	2009-03-31	NA	NA	1126	298	619	199	139.663974151858	699.035175879397	-0.00558832176354729	0.696008211401026	-0.0640036758420337	0.660023258850518
amaryl	ROBUST	0	2009-06-18	NA	NA	121	56	96	50	810.625	487.78	0.0521933541565899	0.87527966758846	-0.0267437520734705	0.878181340509127
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	22	169.444444444444	135.136363636364	-0.00942581482052429	0.639186734990434	0.000505789193338602	0.533828869612805
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	53	216	85.3018867924528	-0.0622536918105936	0.557333982575721	-0.00656088653342313	0.795005972092457
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	78	151.742857142857	134.589743589744	0.169285574247942	0.386734073981733	-0.0348763624586995	0.460216991308941
betaseron	ROBUST	0	2009-07-09	NA	NA	30	16	20	9	282.25	290.666666666667	-0.00534474848464511	0.78043007578434	-0.00522497415568546	0.550010742502222
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	63	278.032258064516	311.984126984127	0.134310097787701	0.715615605108383	0.0715714126764687	0.802051007777516
bystolic	ROBUST	0	2008-01-22	NA	NA	23	36	19	46	415.473684210526	140.521739130435	0.0891045266014599	0.428761674744854	0.111782934742723	0.780456825597246
chantix	BBW	1	2006-05-10	2009-07-01	Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.	117	54	14	47	652.714285714286	505.468085106383	0.204220941152545	0.333778668646596	0.232280994423135	0.816298789796868
copaxone	ROBUST	0	2008-04-28	NA	NA	43	24	20	12	469.05	507.666666666667	0.0251152096925529	0.712712314100121	0.0337152214016428	0.597829510457623
creon	ROBUST	0	2009-09-29	NA	NA	510	40	319	22	93.9404388714733	50.4545454545455	0.0554226307170805	0.467162317830865	-0.0419112962951963	0.199763872794039
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	86	2739.12	653.139534883721	0.1791717688024	0.712724694636189	0.0890445497215314	0.885504955223357
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	67	412.615384615385	207.925373134328	0.00339878673465965	0.596807128631631	0.11582244465432	0.847780848335127
dexilant	ROBUST	0	2010-04-12	NA	NA	89	55	51	19	426.411764705882	2148.15789473684	0.0066903811403925	0.539171143026398	-0.035544932656234	0.327707662786731
eloxatin	BBW	1	2006-06-02	2009-03-01	Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis.	1106	22	325	16	243.369230769231	193.9375	0.0279162240165381	0.807132434741366	-0.0225120971091647	0.787413208418763
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	90	117.363636363636	279.111111111111	-0.0741071394694012	0.811315359125515	-0.0145358925785493	0.814617890485062
exforge	BBW	1	2007-06-20	2008-07-01	D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	17	9	12	16	1208.83333333333	548.375	0.116094549817019	0.32636495600331	0.146789552558334	0.720798558404325
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	151	152.540983606557	134.476821192053	0.0788587440379224	0.862876074216788	0.0893843854900381	0.740517192280526
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	164	632.777777777778	536.621951219512	0.0755512925966828	0.846256051193108	0.0810433956456785	0.728515034492825
gilenya	ROBUST	0	2010-09-21	NA	NA	39	24	29	21	698.551724137931	664.952380952381	-0.0636764348892249	0.625970454455666	0.013338786696091	0.34221574559081
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	28	365.235294117647	85.9285714285714	0.114688946661746	0.572575328695654	0.00958367399827126	0.342416376556356
humira	BBW	1	2002-12-30	2009-11-01	Increased risk of serious infections (eg, active tuberculosis [TB] including latent TB reactivation, invasive fungal, bacterial, viral, and other infections due to opportunistic pathogens) leading to hospitalization or death, mostly with concomitant use of immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation TB patients have frequently presented with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to adalimumab use. Invasive fungal infections reported; consider empiric antifungal therapy in patients at risk who develop severe systemic illness. Monitor patients closely for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents. Postmarketing cases of aggressive and fatal hepatosplenic T-cell lymphoma (HSTCL) reported in patients with Crohn's disease (CD) or ulcerative colitis (UC) and the majority were in adolescent and young adult males; all of these patients were treated concomitantly with azathioprine or 6-mercaptopurine.	181	75	10	77	1359.4	273.077922077922	0.124586719805146	0.817203746501909	0.12665447998918	0.73615169389185
intuniv	ROBUST	0	2009-09-02	NA	NA	28	14	21	14	203.761904761905	71.9285714285714	-0.00442200414508764	0.358765761029573	-0.16051398571135	0.450461128435833
invega	BBW	1	2006-12-19	2008-06-16	Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be cardiovascular (CV) (eg, heart failure, sudden death) or infectious (eg, pneumonia) in nature. Not approved for the treatment of patients with dementia-related psychosis.	95	51	51	47	210.039215686275	163.829787234043	0.00960421647918019	0.810417383713576	-0.00734302275932042	0.766546540443287
isentress	ROBUST	0	2007-10-12	NA	NA	142	62	27	97	180.333333333333	91.5567010309278	0.0950048901716568	0.719145497752969	0.00365027141296453	0.656281206733426
