drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
afinitor	ROBUST	0	2009-03-31	NA	NA	1126	298	619	148	139.663974151858	777.777027027027	-0.00923337705858573	0.697062464382414	-0.0620416848927852	0.669858030250972
amaryl	ROBUST	0	2009-06-18	NA	NA	121	56	96	39	810.625	555.153846153846	0.045649665991031	0.868636537298963	-0.0267990582681025	0.862021233463056
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	20	169.444444444444	140.65	-0.0238748979321078	0.630504605607531	-0.00534355501421063	0.534033973313655
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	49	216	85.9795918367347	-0.0569763571594504	0.566060777835235	-0.00560520460087205	0.796055160606449
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	63	151.742857142857	144.015873015873	0.158848011869481	0.351356626834257	-0.0450882856870438	0.453890202271002
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	46	278.032258064516	368	0.133302057644588	0.705695048806898	0.0559801013202348	0.809116812557957
bystolic	ROBUST	0	2008-01-22	NA	NA	23	36	19	40	415.473684210526	152.2	0.0773857075007404	0.446496670932207	0.0939154749037295	0.760840074564831
chantix	BBW	1	2006-05-10	2009-07-01	Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.	117	54	14	42	652.714285714286	544.238095238095	0.201172704839785	0.313852612128409	0.205733937283913	0.83096253668486
copaxone	ROBUST	0	2008-04-28	NA	NA	43	24	20	10	469.05	574.2	0.0104680388138979	0.652471060091699	0.0038288040488817	0.583923345736878
creon	ROBUST	0	2009-09-29	NA	NA	510	40	319	16	93.9404388714733	51.375	0.0614323179660267	0.452193961387994	-0.056962000911446	0.198841728067766
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	69	2739.12	635.652173913043	0.168383043768911	0.742153518132236	0.088030486934067	0.890284251029484
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	62	412.615384615385	206.967741935484	-0.00808462102923546	0.601200556707622	0.0975707074995673	0.847507529331293
dexilant	ROBUST	0	2010-04-12	NA	NA	89	55	51	13	426.411764705882	2906.76923076923	-0.0373411852542155	0.499627520833739	-0.0291075778691621	0.308609747936747
eloxatin	BBW	1	2006-06-02	2009-03-01	Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis.	1106	22	325	13	243.369230769231	201	-0.00742261102702285	0.74610927673843	-0.0612434884831882	0.776168888059527
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	76	117.363636363636	240.578947368421	-0.0828399878302916	0.807323804729033	-0.0273789170216897	0.818297681851461
exforge	BBW	1	2007-06-20	2008-07-01	D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	17	9	12	14	1208.83333333333	601.285714285714	0.11607305034564	0.312696308871401	0.134643209971118	0.717006527624217
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	98	152.540983606557	122.897959183673	0.054737731986242	0.880875803044281	0.0778983801417104	0.756908973965522
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	145	632.777777777778	493.924137931034	0.0748772439532721	0.848675658491398	0.0797801366281253	0.723927591678596
gilenya	ROBUST	0	2010-09-21	NA	NA	39	24	29	14	698.551724137931	889.142857142857	-0.0735852358218061	0.587023842673049	-0.0113833140583218	0.358663660327603
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	24	365.235294117647	78.6666666666667	0.0939685419863024	0.593889515435124	0.0102263209608668	0.376371066993402
humira	BBW	1	2002-12-30	2009-11-01	Increased risk of serious infections (eg, active tuberculosis [TB] including latent TB reactivation, invasive fungal, bacterial, viral, and other infections due to opportunistic pathogens) leading to hospitalization or death, mostly with concomitant use of immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation TB patients have frequently presented with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to adalimumab use. Invasive fungal infections reported; consider empiric antifungal therapy in patients at risk who develop severe systemic illness. Monitor patients closely for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents. Postmarketing cases of aggressive and fatal hepatosplenic T-cell lymphoma (HSTCL) reported in patients with Crohn's disease (CD) or ulcerative colitis (UC) and the majority were in adolescent and young adult males; all of these patients were treated concomitantly with azathioprine or 6-mercaptopurine.	181	75	10	58	1359.4	190.258620689655	0.107758661485839	0.792458781450065	0.127998887559086	0.737658257519675
intuniv	ROBUST	0	2009-09-02	NA	NA	28	14	21	12	203.761904761905	75.5833333333333	0.0214585141678917	0.322936323435056	-0.1493804877539	0.417752959005976
invega	BBW	1	2006-12-19	2008-06-16	Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be cardiovascular (CV) (eg, heart failure, sudden death) or infectious (eg, pneumonia) in nature. Not approved for the treatment of patients with dementia-related psychosis.	95	51	51	39	210.039215686275	166.974358974359	-0.0128219574006372	0.797938293452955	-0.0257811625883191	0.767020317136098
isentress	ROBUST	0	2007-10-12	NA	NA	142	62	27	84	180.333333333333	84.2738095238095	0.0881934942915449	0.702257953690983	0.00117665103990566	0.648162109659365
januvia	ROBUST	0	2006-10-16	NA	NA	209	91	42	74	385.833333333333	317.351351351351	0.159087713952737	0.896949194358522	-0.0144458649184608	0.812891823062115
kaletra	ROBUST	0	2006-04-11	NA	NA	172	89	100	109	338.82	103.440366972477	0.0168998102046987	0.722674832189402	0.00534020455363493	0.7173888473316
lantus	ROBUST	0	2002-06-04	NA	NA	224	177	14	185	1923.35714285714	263.389189189189	0.128184126150571	0.827998870608052	0.0829296909290611	0.757673001939561
levaquin	BBW	1	1996-12-20	2008-07-08	Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased with patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis.	100	43	11	57	507.545454545455	400.122807017544	0.139924560538261	0.40757374687518	0.1303861045804	0.583543202584595
levemir	ROBUST	0	2006-03-27	NA	NA	67	54	32	50	952.78125	176.14	0.164101280480694	0.918175886817584	0.10667280630892	0.840186123282316
lialda	ROBUST	0	2007-01-16	NA	NA	101	17	33	11	309.30303030303	239.636363636364	0.00353084269746595	0.882579151863854	0.0104161521807025	0.618648895985752
lovaza	ROBUST	0	2008-10-21	NA	NA	61	34	20	20	960.2	65.25	-0.0113612416543767	0.603257082885902	-0.0391149701149591	0.639765763819139
lucentis	ROBUST	0	2006-06-30	NA	NA	274	68	26	54	336.653846153846	106.833333333333	0.0224741493776121	0.915761786299388	0.0240295017460671	0.774380425400914
lyrica	ROBUST	0	2004-12-30	NA	NA	182	84	15	76	333.133333333333	127.842105263158	0.0661301070614596	0.696994052342797	0.3657445369876	0.846529850630602
mirapex	ROBUST	0	2003-09-04	NA	NA	73	29	9	23	174.333333333333	185.04347826087	0.083098000256347	0.739449384385714	0.0837940417331675	0.712814621814153
namenda	ROBUST	0	2003-10-16	NA	NA	84	48	9	47	347.777777777778	84.3617021276596	0.0211768687673492	0.520709046313077	0.0769340501528694	0.689799717118448
neupogen	ROBUST	0	1994-06-08	NA	NA	868	12	17	11	290.823529411765	183.090909090909	0.0452912147583017	0.797558907096693	-0.0314527892886189	0.439057039958761
novolog	ROBUST	0	2001-08-27	NA	NA	195	110	21	120	1254.90476190476	232.633333333333	0.0184546540200557	0.905223407643126	0.0898427030830329	0.75739258596054
oracea	ROBUST	0	2006-09-29	NA	NA	108	38	27	27	196.703703703704	204.518518518519	0.0248966841102841	0.508599517683368	0.0422577768126253	0.697183117286242
orencia	ROBUST	0	2009-01-01	NA	NA	87	10	55	9	292.727272727273	334.444444444444	-0.190316671383482	0.743229628506654	-0.16001310767384	0.588007474275843
pravachol	ROBUST	0	2009-06-01	NA	NA	74	37	45	16	342.933333333333	625.875	-0.123887156554069	0.546450785018546	-0.0870859428812705	0.740133591411979
prezista	ROBUST	0	2008-03-08	NA	NA	112	36	49	50	297.244897959184	77.88	0.1181017590657	0.502596259882451	0.00196640008475168	0.59453486819524
restasis	ROBUST	0	2003-04-01	NA	NA	563	147	195	175	111.851282051282	139.365714285714	0.0207564610865751	0.739747181380768	-0.046882063653556	0.646511425016272
reyataz	ROBUST	0	2003-06-24	NA	NA	109	53	11	92	257.454545454545	151.489130434783	0.168474551950496	0.656820738311581	0.185545503798311	0.74934005348483
rituxan	BBW	1	1997-11-26	2013-09-25	Serious, including fatal infusion reactions reported; deaths within 24 hrs of infusion have occurred. Monitor patients closely. D/C for severe reaction and treat for Grade 3/4 reactions. Severe, including fatal, mucocutaneous reactions may occur. Hepatitis B virus (HBV) reactivation can occur, in some cases resulting in fulminant hepatitis, hepatic failure, and death. Screen all patients for HBV infection before treatment initiation; monitor patients during and after treatment. D/C therapy and concomitant medications in the event of HBV reactivation. Fatal progressive multifocal leukoencephalopathy (PML) may occur.	1261	50	11	49	121.545454545455	151.795918367347	0.146057577162717	0.480380897486434	0.123791403546227	0.666844556263926
sensipar	ROBUST	0	2004-04-04	NA	NA	35	18	9	17	281.333333333333	163.941176470588	-0.0524136479465632	0.897176671174862	-0.0606633687104847	0.673554932672191
solodyn	ROBUST	0	2009-07-23	NA	NA	98	23	34	12	118	83.75	-0.0952805575599311	0.375149718737758	-0.0301818520691465	0.663487109594467
spiriva	ROBUST	0	2004-07-14	NA	NA	183	63	45	53	397.533333333333	656.094339622642	0.217115885968058	0.841305807093707	0.119258664500771	0.7046408492311
testim	BBW	1	2002-10-31	2009-09-01	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	25	53	241	95.1132075471698	-0.051168832786598	0.444407608879303	0.0160663725190144	0.780152180946693
thalomid	BBW	1	2003-06-20	2006-05-01	Severe birth defects or embryo-fetal death may occur if taken during pregnancy. Should never be used by pregnant women or females who could become pregnant. Approved for marketing only under a special restricted distribution program called the "THALOMID REMS program." May increase risk of venous thromboembolism in patients with multiple myeloma, especially with standard chemotherapeutic agents including dexamethasone; observe for signs/symptoms of thromboembolism. Instruct patients to seek medical care if symptoms such as SOB, chest pain, or arm or leg swelling develop. Consider thromboprophylaxis based on assessment of individual's underlying risk factors.	418	9	112	12	135.785714285714	66.8333333333333	-0.0180670325100529	0.82364565405259	-0.0811884206598862	0.712368332096846
topamax	ROBUST	0	1997-01-01	NA	NA	146	47	12	45	115.916666666667	109.511111111111	0.358186111522304	0.411311698802491	0.292139238593789	0.710387055339082
tricor	ROBUST	0	2004-11-05	NA	NA	91	26	22	20	1566.31818181818	122.5	-0.0354030349287001	0.655984805877107	-0.0035490207199389	0.739866822640619
trilipix	ROBUST	0	2008-12-15	NA	NA	91	26	69	11	677.927536231884	143.727272727273	-0.0861981202884278	0.669801492922007	-0.0916603545361188	0.775748085978015
ultram er	ROBUST	0	2005-09-08	NA	NA	80	61	25	56	355.76	220.232142857143	0.0486880483527533	0.651046564729912	0.0840168521121477	0.703406674255538
velcade	ROBUST	0	2003-05-13	NA	NA	677	11	39	9	80.5384615384615	53	0.0717432553338554	0.677154440524059	-0.0446944538947202	0.298517985467255
veramyst	ROBUST	0	2007-05-15	NA	NA	290	157	99	104	487.383838383838	589.798076923077	0.0457090296937038	0.857193738377083	0.0477259031066307	0.757945275154988
viramune	BBW	1	2001-08-01	2005-02-01	Severe, life-threatening, and in some cases fatal, hepatotoxicity (particularly in the first 18 weeks) and skin reactions (eg, Stevens-Johnson syndrome [SJS], toxic epidermal necrolysis [TEN], hypersensitivity reactions) reported. Increased risk of hepatotoxicity reported in women and patients with higher CD4	120	45	9	65	594.444444444444	220.584615384615	0.170758979216249	0.3145850505285	0.121501620659627	0.602010850773376
wellbutrin xl	BBW	1	2003-10-08	2006-02-01	Antidepressants increased the risk of suicidal thinking and behavior (suicidality) in short-term studies in children, adolescents, and young adults with major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior. Advise families and caregivers of the need for close observation and communication with the prescriber. Not approved for use in pediatric patients. Not approved for smoking cessation; neuropsychiatric reactions reported in patients taking bupropion for smoking cessation.	150	74	31	49	250.774193548387	510.061224489796	-0.0214550178782272	0.891355648208888	-0.00676672288432134	0.795213414694915
xopenex hfa	ROBUST	0	2005-12-01	NA	NA	223	85	47	81	304	566.148148148148	0.0934341091172294	0.787463741561323	0.0673645468057439	0.626854551588003
xyzal	ROBUST	0	2007-08-09	NA	NA	31	22	13	9	431.307692307692	197	0.0372619444613296	0.765632569418596	0.0201393415074339	0.693823809701413
yaz	BBW	1	2006-03-16	2008-12-01	Cigarette smoking increases the risk of serious cardiovascular events from combination oral contraceptive (COC) use. Risk increases with age (>35 yrs of age) and with the number of cigarettes smoked. Should not be used by women who are >35 yrs of age and smoke.	42	14	17	13	478	104.153846153846	-0.0857384257343166	0.633147178892914	0.000294344335088959	0.54274489365241
zegerid	ROBUST	0	2004-06-15	NA	NA	190	47	13	34	474.230769230769	408.735294117647	0.0629762578692987	0.482463683232279	0.0519214100899074	0.64869645002446
zetia	ROBUST	0	2002-10-25	NA	NA	132	68	11	62	775.363636363636	278.016129032258	0.0688317005146439	0.766956020949264	0.0796958385846758	0.698763119878385
zometa	ROBUST	0	2001-08-20	NA	NA	185	49	9	45	453.333333333333	157.711111111111	0.144119665684396	0.477842372894381	-0.0219716294549566	0.491007766118019
