drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	12	169.444444444444	171.666666666667	-0.0625441521135379	0.572833883614424	-0.0369804672715603	0.526739423590675
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	32	216	78.78125	-0.0710239731705921	0.542723189302767	-0.0272750242471815	0.781230629069295
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	26	151.742857142857	207.730769230769	0.149333964323712	0.365400414082154	-0.0721544328606617	0.534129574186178
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	25	278.032258064516	51.12	0.131692797111779	0.66694105474182	0.0183543679124991	0.769204608400143
bystolic	ROBUST	0	2008-01-22	NA	NA	23	36	19	11	415.473684210526	285.909090909091	-0.00126516567446572	0.510103405138897	0.0264475396903489	0.679372582755341
chantix	BBW	1	2006-05-10	2009-07-01	Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.	117	54	14	15	652.714285714286	208.2	0.12062088607623	0.159353697204035	0.205938169523658	0.776150525706333
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	31	2739.12	1081.87096774194	0.136930836622308	0.734423501928099	0.0541986484876483	0.887706664961285
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	36	412.615384615385	217.944444444444	-0.0137968862021776	0.588493514435354	0.0623988956334391	0.828779876472935
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	48	117.363636363636	213.708333333333	-0.0874762674798034	0.808650858710521	-0.0458866272822295	0.815716513317778
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	28	152.540983606557	83.3571428571429	-0.0277392606861177	0.858738951692914	-0.00523289328581739	0.698035438661541
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	87	632.777777777778	222.632183908046	0.0609285835654109	0.853537824346986	0.0553880884365148	0.71864147824363
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	16	365.235294117647	81.875	0.0796477214484583	0.714535702640915	-0.0152835247921667	0.404570491950541
humira	BBW	1	2002-12-30	2009-11-01	Increased risk of serious infections (eg, active tuberculosis [TB] including latent TB reactivation, invasive fungal, bacterial, viral, and other infections due to opportunistic pathogens) leading to hospitalization or death, mostly with concomitant use of immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation TB patients have frequently presented with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to adalimumab use. Invasive fungal infections reported; consider empiric antifungal therapy in patients at risk who develop severe systemic illness. Monitor patients closely for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents. Postmarketing cases of aggressive and fatal hepatosplenic T-cell lymphoma (HSTCL) reported in patients with Crohn's disease (CD) or ulcerative colitis (UC) and the majority were in adolescent and young adult males; all of these patients were treated concomitantly with azathioprine or 6-mercaptopurine.	181	75	10	20	1359.4	245.45	0.0375005642330674	0.822674418604651	0.0693179303708051	0.801447697009178
invega	BBW	1	2006-12-19	2008-06-16	Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be cardiovascular (CV) (eg, heart failure, sudden death) or infectious (eg, pneumonia) in nature. Not approved for the treatment of patients with dementia-related psychosis.	95	51	51	15	210.039215686275	228.666666666667	-0.067042523939825	0.66084440772942	-0.0828476666429652	0.747330911777458
isentress	ROBUST	0	2007-10-12	NA	NA	142	62	27	19	180.333333333333	43.8947368421053	-0.00350013039237979	0.642717640948955	-0.0550856177386215	0.523470284354298
januvia	ROBUST	0	2006-10-16	NA	NA	209	91	42	22	385.833333333333	144.818181818182	0.13307483303107	0.785132607078214	-0.00818567530317438	0.762916321915657
kaletra	ROBUST	0	2006-04-11	NA	NA	172	89	100	60	338.82	82.4166666666667	-0.0247666299399955	0.703662323107922	-0.0196340576946346	0.710449587437665
lantus	ROBUST	0	2002-06-04	NA	NA	224	177	14	108	1923.35714285714	294.425925925926	0.122523279012857	0.837567179232648	0.0770617860597157	0.792270414264182
levaquin	BBW	1	1996-12-20	2008-07-08	Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased with patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis.	100	43	11	31	507.545454545455	465.225806451613	0.111936721011097	0.392123672394649	0.0830448446365394	0.600029400381449
levemir	ROBUST	0	2006-03-27	NA	NA	67	54	32	27	952.78125	137.851851851852	0.123777764855863	0.872853777512174	0.0797322513178603	0.848955717113347
lucentis	ROBUST	0	2006-06-30	NA	NA	274	68	26	15	336.653846153846	78.2666666666667	0.0249519408776276	0.831501439061945	0.00560981929940568	0.815157966994615
lyrica	ROBUST	0	2004-12-30	NA	NA	182	84	15	39	333.133333333333	132.846153846154	0.0440174541427089	0.708474304903124	0.332762524520465	0.814578380540573
mirapex	ROBUST	0	2003-09-04	NA	NA	73	29	9	16	174.333333333333	213.875	0.0631537834594414	0.762718787564675	0.0524035770184657	0.69268049137652
namenda	ROBUST	0	2003-10-16	NA	NA	84	48	9	40	347.777777777778	90.075	0.0063295204589271	0.472314564376481	0.0655535911817888	0.676249932121723
novolog	ROBUST	0	2001-08-27	NA	NA	195	110	21	71	1254.90476190476	253.112676056338	-0.0309833842053033	0.8862718628035	0.0596752649364046	0.807016985790143
oracea	ROBUST	0	2006-09-29	NA	NA	108	38	27	12	196.703703703704	166.666666666667	-0.0441548856732024	0.43517186925681	-0.029913035821131	0.596576160998301
restasis	ROBUST	0	2003-04-01	NA	NA	563	147	195	132	111.851282051282	139.856060606061	0.00308709037860588	0.735132198204055	-0.0529764301293451	0.66168968683221
reyataz	ROBUST	0	2003-06-24	NA	NA	109	53	11	47	257.454545454545	192.702127659574	0.139257794919965	0.697079833794088	0.179831292824822	0.734878548689175
rituxan	BBW	1	1997-11-26	2013-09-25	Serious, including fatal infusion reactions reported; deaths within 24 hrs of infusion have occurred. Monitor patients closely. D/C for severe reaction and treat for Grade 3/4 reactions. Severe, including fatal, mucocutaneous reactions may occur. Hepatitis B virus (HBV) reactivation can occur, in some cases resulting in fulminant hepatitis, hepatic failure, and death. Screen all patients for HBV infection before treatment initiation; monitor patients during and after treatment. D/C therapy and concomitant medications in the event of HBV reactivation. Fatal progressive multifocal leukoencephalopathy (PML) may occur.	1261	50	11	26	121.545454545455	103.269230769231	0.135831374271299	0.542198194781507	0.0935482782359166	0.654003769280085
