drug,label,marketDate,bbwDate,prediction
androgel,1,2003-05-15,2009-05-07,0.60427807486631
chantix,1,2006-05-10,2009-07-01,0.511811023622047
exforge,1,2007-06-20,2008-07-01,0.509536784741144
testim,1,2002-10-31,2009-09-01,0.48314606741573
enbrel,1,2003-01-02,2008-07-01,0.45974025974026
creon,0,2009-09-29,NA,0.452830188679245
viramune,1,2001-08-01,2005-02-01,0.427480916030534
topamax,0,1997-01-01,NA,0.426470588235294
afinitor,0,2009-03-31,NA,0.417910447761194
sensipar,0,2004-04-04,NA,0.373961218836565
avastin,1,2004-02-26,2005-11-03,0.369272237196765
pravachol,0,2009-06-01,NA,0.359773371104816
invega,1,2006-12-19,2008-06-16,0.358126721763085
amaryl,0,2009-06-18,NA,0.346774193548387
bystolic,0,2008-01-22,NA,0.345013477088949
wellbutrin xl,1,2003-10-08,2006-02-01,0.342776203966006
rituxan,1,1997-11-26,2013-09-25,0.307471264367816
lucentis,0,2006-06-30,NA,0.295264623955432
tricor,0,2004-11-05,NA,0.294277929155313
spiriva,0,2004-07-14,NA,0.27810650887574
restasis,0,2003-04-01,NA,0.270833333333333
zometa,0,2001-08-20,NA,0.265486725663717
levaquin,1,1996-12-20,2008-07-08,0.262247838616715
reyataz,0,2003-06-24,NA,0.258522727272727
oracea,0,2006-09-29,NA,0.255192878338279
byetta,0,2005-04-28,NA,0.249299719887955
eloxatin,1,2006-06-02,2009-03-01,0.23936170212766
zetia,0,2002-10-25,NA,0.230985915492958
januvia,0,2006-10-16,NA,0.230971128608924
velcade,0,2003-05-13,NA,0.220744680851064
veramyst,0,2007-05-15,NA,0.205633802816901
lyrica,0,2004-12-30,NA,0.202816901408451
prezista,0,2008-03-08,NA,0.201754385964912
levemir,0,2006-03-27,NA,0.197831978319783
crestor,0,2003-08-18,NA,0.196286472148541
lantus,0,2002-06-04,NA,0.186868686868687
humira,1,2002-12-30,2009-11-01,0.183023872679045
novolog,0,2001-08-27,NA,0.172222222222222
isentress,0,2007-10-12,NA,0.163101604278075
mirapex,0,2003-09-04,NA,0.15989847715736
gleevec,0,2001-05-15,NA,0.159663865546218
fentora,1,2006-09-25,2008-02-01,0.14404432132964
cymbalta,1,2004-08-24,2012-10-01,0.136363636363636
ambien cr,0,2005-10-07,NA,0.128065395095368
kaletra,0,2006-04-11,NA,0.127118644067797
lovaza,0,2008-10-21,NA,0.126099706744868
zegerid,0,2004-06-15,NA,0.115273775216138
namenda,0,2003-10-16,NA,0.0806916426512968
flovent,0,2005-07-13,NA,0.075
xopenex hfa,0,2005-12-01,NA,0.0473684210526316
ultram er,0,2005-09-08,NA,0.041343669250646
