drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.56763925729443
spiriva,0,2004-07-14,NA,0.45045045045045
zometa,0,2001-08-20,NA,0.397694524495677
enbrel,1,2003-01-02,2008-07-01,0.344173441734417
restasis,0,2003-04-01,NA,0.287292817679558
androgel,1,2003-05-15,2009-05-07,0.257142857142857
testim,1,2002-10-31,2009-09-01,0.253263707571802
novolog,0,2001-08-27,NA,0.230971128608924
flovent,0,2005-07-13,NA,0.225071225071225
avastin,1,2004-02-26,2005-11-03,0.194888178913738
levaquin,1,1996-12-20,2008-07-08,0.178272980501393
xopenex hfa,0,2005-12-01,NA,0.157181571815718
reyataz,0,2003-06-24,NA,0.0844686648501362
rituxan,0,1997-11-26,NA,0.0753623188405797
mirapex,0,2003-09-04,NA,0.0698924731182796
namenda,0,2003-10-16,NA,0.0649717514124294
lantus,0,2002-06-04,NA,0.0612244897959184
lyrica,0,2004-12-30,NA,0.0555555555555556
humira,1,2002-12-30,2009-11-01,0.0307262569832402
cymbalta,0,2004-08-24,NA,0.0242587601078167
viramune,1,2001-08-01,2005-02-01,0.0180722891566265
zetia,0,2002-10-25,NA,0.0172413793103448
crestor,0,2003-08-18,NA,0.0137362637362637
wellbutrin xl,1,2003-10-08,2006-02-01,0
