drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.464183381088825
enbrel,1,2003-01-02,2008-07-01,0.378378378378378
spiriva,0,2004-07-14,NA,0.325268817204301
levaquin,1,1996-12-20,2008-07-08,0.293150684931507
zometa,0,2001-08-20,NA,0.282722513089005
restasis,0,2003-04-01,NA,0.282485875706215
flovent,0,2005-07-13,NA,0.253561253561254
novolog,0,2001-08-27,NA,0.204244031830239
reyataz,0,2003-06-24,NA,0.201970443349754
rituxan,1,1997-11-26,2013-09-25,0.2
mirapex,0,2003-09-04,NA,0.183333333333333
namenda,0,2003-10-16,NA,0.1796875
testim,1,2002-10-31,2009-09-01,0.176136363636364
avastin,1,2004-02-26,2005-11-03,0.174342105263158
androgel,1,2003-05-15,2009-05-07,0.174142480211082
cymbalta,1,2004-08-24,2012-10-01,0.123249299719888
xopenex hfa,0,2005-12-01,NA,0.112044817927171
zetia,0,2002-10-25,NA,0.105882352941176
humira,1,2002-12-30,2009-11-01,0.092436974789916
lyrica,0,2004-12-30,NA,0.0564102564102564
lantus,0,2002-06-04,NA,0.0394366197183099
crestor,0,2003-08-18,NA,0.024024024024024
viramune,1,2001-08-01,2005-02-01,0.00321543408360129
wellbutrin xl,1,2003-10-08,2006-02-01,0.0029940119760479
