drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
afinitor	ROBUST	0	2009-03-31	NA	NA	1126	298	619	106	139.663974151858	896.981132075472	-0.00976737449778398	0.699860288824043	-0.0657922956104254	0.669119778254186
amaryl	ROBUST	0	2009-06-18	NA	NA	121	56	96	29	810.625	326.103448275862	0.0173491457682989	0.888275291983684	-0.0466275443148385	0.848462856600601
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	19	169.444444444444	140.789473684211	-0.0181971095664875	0.630376418676765	-0.0117309054079782	0.534151343849944
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	44	216	81.7727272727273	-0.0572044568339639	0.560593508929053	-0.012650383290806	0.797633358312788
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	51	151.742857142857	156.745098039216	0.162504593396811	0.351486850425879	-0.0436700959068198	0.464640793786124
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	43	278.032258064516	386.837209302326	0.14022419724037	0.72284557436452	0.051998211267651	0.803006197872611
bystolic	ROBUST	0	2008-01-22	NA	NA	23	36	19	35	415.473684210526	169.085714285714	0.0714666613089514	0.412444389844305	0.0967003992879366	0.757429098427037
chantix	BBW	1	2006-05-10	2009-07-01	Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.	117	54	14	37	652.714285714286	514.756756756757	0.198474367827441	0.303389938108459	0.214467418743568	0.821428939040949
creon	ROBUST	0	2009-09-29	NA	NA	510	40	319	15	93.9404388714733	53.4666666666667	0.0399429923365924	0.367583859439982	-0.0748217040452329	0.198356578276776
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	60	2739.12	673.5	0.161283910228504	0.744891495832777	0.0827314063977144	0.881896829527655
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	58	412.615384615385	192.793103448276	-0.00934375707833235	0.601330890245014	0.0898509143615653	0.849139131767007
eloxatin	BBW	1	2006-06-02	2009-03-01	Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis.	1106	22	325	11	243.369230769231	224.090909090909	-0.0744457371494265	0.756056208064148	-0.0629080916018513	0.740269093184386
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	73	117.363636363636	240.205479452055	-0.0819412629946769	0.804649610639461	-0.02668239640867	0.819762682362741
exforge	BBW	1	2007-06-20	2008-07-01	D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	17	9	12	14	1208.83333333333	601.285714285714	0.11607305034564	0.312696308871401	0.134643209971118	0.717006527624217
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	80	152.540983606557	122.95	0.0441582074177332	0.888191097621509	0.0694414956581547	0.778152601744484
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	137	632.777777777778	506.270072992701	0.071225194019944	0.846958910788672	0.0799009041421998	0.717138061798345
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	23	365.235294117647	78.8260869565217	0.0919272148123449	0.623364224920002	0.00912980522932771	0.383747698429466
