drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.861271676300578
viramune,1,2001-08-01,2005-02-01,0.795580110497238
enbrel,1,2003-01-02,2008-07-01,0.744565217391304
testim,1,2002-10-31,2009-09-01,0.681440443213296
androgel,1,2003-05-15,2009-05-07,0.662198391420912
reyataz,0,2003-06-24,NA,0.644562334217507
levaquin,1,1996-12-20,2008-07-08,0.632022471910112
exforge,1,2007-06-20,2008-07-01,0.612359550561798
wellbutrin xl,1,2003-10-08,2006-02-01,0.580736543909348
chantix,1,2006-05-10,2009-07-01,0.577348066298343
eloxatin,1,2006-06-02,2009-03-01,0.509536784741144
intuniv,0,2009-09-02,NA,0.454787234042553
sensipar,0,2004-04-04,NA,0.438172043010753
lyrica,0,2004-12-30,NA,0.430079155672823
invega,1,2006-12-19,2008-06-16,0.429378531073446
thalomid,1,2003-06-20,2006-05-01,0.394444444444444
spiriva,0,2004-07-14,NA,0.389175257731959
bystolic,0,2008-01-22,NA,0.370786516853933
tricor,0,2004-11-05,NA,0.370786516853933
levemir,0,2006-03-27,NA,0.361581920903955
solodyn,0,2009-07-23,NA,0.32425068119891
rituxan,1,1997-11-26,2013-09-25,0.323863636363636
zometa,0,2001-08-20,NA,0.31283422459893
mirapex,0,2003-09-04,NA,0.308510638297872
gilenya,0,2010-09-21,NA,0.298816568047337
restasis,0,2003-04-01,NA,0.298342541436464
ambien cr,0,2005-10-07,NA,0.288135593220339
lantus,0,2002-06-04,NA,0.275324675324675
humira,1,2002-12-30,2009-11-01,0.274509803921569
fentora,1,2006-09-25,2008-02-01,0.264367816091954
lucentis,0,2006-06-30,NA,0.263707571801567
crestor,0,2003-08-18,NA,0.261096605744125
avastin,1,2004-02-26,2005-11-03,0.258974358974359
byetta,0,2005-04-28,NA,0.233618233618234
oracea,0,2006-09-29,NA,0.220994475138122
novolog,0,2001-08-27,NA,0.196765498652291
januvia,0,2006-10-16,NA,0.194915254237288
velcade,0,2003-05-13,NA,0.188888888888889
veramyst,0,2007-05-15,NA,0.179063360881543
neupogen,0,1994-06-08,NA,0.175126903553299
nuvigil,0,2009-05-26,NA,0.15406162464986
trilipix,0,2008-12-15,NA,0.149732620320856
amaryl,0,2009-06-18,NA,0.142857142857143
zetia,0,2002-10-25,NA,0.140883977900552
xgeva,0,2010-11-18,NA,0.140298507462687
xarelto,1,2011-07-01,2014-03-01,0.130311614730878
creon,0,2009-09-29,NA,0.130193905817175
gleevec,0,2001-05-15,NA,0.12401055408971
afinitor,0,2009-03-31,NA,0.122282608695652
zegerid,0,2004-06-15,NA,0.111111111111111
cymbalta,1,2004-08-24,2012-10-01,0.0985915492957746
flovent,0,2005-07-13,NA,0.0948509485094851
lialda,0,2007-01-16,NA,0.0868347338935574
kaletra,0,2006-04-11,NA,0.082010582010582
copaxone,0,2008-04-28,NA,0.0779220779220779
ultram er,0,2005-09-08,NA,0.0752688172043011
pravachol,0,2009-06-01,NA,0.0614035087719298
lovaza,0,2008-10-21,NA,0.0594900849858357
namenda,0,2003-10-16,NA,0.0581395348837209
dexilant,0,2010-04-12,NA,0.0550964187327824
prezista,0,2008-03-08,NA,0.053072625698324
isentress,0,2007-10-12,NA,0.0474860335195531
orencia,0,2009-01-01,NA,0.0438356164383562
xopenex hfa,0,2005-12-01,NA,0.0309859154929577
betaseron,0,2009-07-09,NA,0.028169014084507
yaz,1,2006-03-16,2008-12-01,0.0269461077844311
xyzal,0,2007-08-09,NA,0.0136239782016349
